"variable","region","unit","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","model","scenario"
"Emissions|CO2|Energy","USA","MMTCO2/yr","4,731.20","4,680.60","4,780.10","4,893.70","4,964.70","5,022.10","5,213.70","5,274.10","5,320.50","5,372.10","5,609.00","5,531.40","5,568.90","5,643.30","5,720.30","5,752.00","5,667.20","5,753.60","5,554.80","5,181.10","5,345.70","5,209.80","5,005.40","5,123.20","5,166.10","5,006.50","4,909.60","4,853.30","4,989.30","4,852.30","4,342.70","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Buildings|Commercial","USA","MMTCO2/yr","228.3","232.7","228","223","224.7","227.8","237.6","237.8","220.1","220.7","236.5","228.5","229","240.1","238","227.1","211.8","223.1","227.5","228","224.5","224.5","200.3","224.2","232.4","244.6","231.5","232","245.8","250.7","226.8","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Buildings|Residential","USA","MMTCO2/yr","338.6","347.7","354","366.1","357","353.1","383.5","365","331.6","350.9","371.7","363.1","361.1","380.1","369.1","358.9","321.7","341.2","347.9","336.4","334.8","326.2","282.4","329.1","346.5","317.3","292.8","293.4","338.2","341.4","315.8","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Industry","USA","MMTCO2/yr","853.7","839.1","866.7","865.9","872.8","889.7","922.5","917.1","890.8","843.4","869.9","867.5","853.3","852.8","876.2","851.5","875.8","867.1","819.8","743.2","796.4","797.1","806.9","834.4","814.6","797.3","792.7","790.4","814.1","816.1","766.3","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Aluminum","USA","MMTCO2/yr","6.8","6.9","6.8","6.2","5.5","5.7","6","6","6.2","6.3","6.1","4.4","4.5","4.5","4.2","4.1","3.8","4.3","4.5","3","2.7","3.3","3.4","3.3","2.8","2.8","1.3","1.2","1.5","1.9","1.7","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals","USA","MMTCO2/yr","3.8","3.5","3.9","4.6","4.3","4.3","3.9","3.9","4.8","4.7","4.2","4.1","3.7","3.6","3.7","3.7","3.5","4.9","4.1","3.4","4.7","5.1","4.8","4.6","1.8","4.7","5.3","5.2","6","6","6","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Ag chemicals","USA","MMTCO2/yr","13","13.3","13.7","13.2","14.2","13.5","13.8","14","14.1","12.9","12.2","9.2","10.5","8.8","9.6","9.2","8.8","9.1","8.4","8.4","9.2","8.2","8.9","9.5","9.4","10.6","10.2","11.1","12.2","12.3","12.7","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Ag chemicals","USA","MMTCO2/yr","2.4","2.3","2.4","2.6","2.7","2.7","2.6","2.7","2.9","3","3.2","3.4","3.6","3.7","3.7","3.5","3.7","3.8","3.6","3.6","3.8","4.1","4.3","4.4","4.5","4.7","4.7","4.9","5","5.1","5.3","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals|Organic","USA","MMTCO2/yr","21.6","23.1","23.7","24.6","26.6","27.9","29.1","30.5","30.9","32.3","31.6","27.6","28.7","28.5","30.7","27.4","27.6","28.1","24.7","23.8","27.3","26.3","26.5","26.4","26.5","28.1","28.1","28.9","29.3","30.7","30","EPA.GHGI","2022"
"Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Cement and lime","USA","MMTCO2/yr","33.5","32.7","33","34.8","36.3","37.1","37.3","38.6","39.5","40.2","41.4","41.6","43.2","43.3","45.9","46.2","46.9","45.5","41.4","29.6","31.4","32.2","35.3","36.4","39.4","39.9","39.4","40.3","39","40.9","40.7","EPA.GHGI","2022"
